Atlanta Hawks,34,35,0.493,11.5,112.8,112.2,0.83
Boston Celtics,42,28,0.6,4,109.5,103.7,5.36
Brooklyn Nets,36,34,0.514,10,111.9,111.7,0.23
Charlotte Hornets,35,35,0.5,11,114.9,114.8,0.05
Chicago Bulls,41,28,0.594,4.5,112.1,110.9,0.73
Cleveland Cavaliers,39,30,0.565,6.5,107,104,2.94
Dallas Mavericks,43,26,0.623,12.5,106.7,103.7,2.98
Denver Nuggets,42,28,0.6,14,111.4,108.5,2.62
Detroit Pistons,18,51,0.261,27.5,103.5,112.3,-8.22
Golden State Warriors,47,23,0.671,9,111.2,105.1,6.1
Houston Rockets,17,52,0.246,38.5,108.9,118.4,-8.93
Indiana Pacers,23,47,0.329,23,110.5,113.3,-2.49
Los Angeles Clippers,36,36,0.5,21,106.9,107.7,-0.83
Los Angeles Lakers,29,40,0.42,26.5,110.9,113.7,-3.13
Memphis Grizzlies,48,22,0.686,8,114.7,109.4,4.77
Miami Heat,46,24,0.657,—,109.4,104.7,4.34
Milwaukee Bucks,44,26,0.629,2,114.9,110.9,3.57
Minnesota Timberwolves,41,30,0.577,15.5,115.2,111.9,3.01
New Orleans Pelicans,28,41,0.406,27.5,108.3,110.2,-1.49
New York Knicks,29,40,0.42,16.5,106.3,106.9,-0.49
Oklahoma City Thunder,20,49,0.29,35.5,103,110.9,-7.42
Orlando Magic,18,52,0.257,28,104.2,112.2,-7.46
Philadelphia 76ers ,42,26,0.618,3,108.7,106.8,1.8
Phoenix Suns,56,14,0.8,—,114.5,106.3,7.53
Portland Trail Blazers,26,42,0.382,29,107.1,113.8,-5.79
Sacramento Kings,25,46,0.352,31.5,110.5,115.6,-4.86
San Antonio Spurs,27,43,0.386,29,113,113.6,-0.53
Toronto Raptors,39,30,0.565,6.5,108.8,107.2,1.67
Utah Jazz,43,26,0.623,12.5,114,107.7,5.85
Washington Wizards,29,39,0.426,16,108.4,111.6,-3.09
