Miami Heat,109.4,104.7
Atlanta Hawks,112.8,112.2
Boston Celtics,109.5,103.7
Brooklyn Nets,111.9,111.7
Charlotte Hornets,114.9,114.8
Chicago Bulls,112.1,110.9
Cleveland Cavaliers,107,104
Dallas Mavericks,106.7,103.7
Denver Nuggets,111.4,108.5
Detroit Pistons,103.9,112.4
Golden State Warriors,111.2,105.1
Houston Rockets,108.9,118.4
Indiana Pacers,110.5,113.3
Los Angeles Clippers,106.9,107.7
Los Angeles Lakers,110.9,113.7
Memphis Grizzlies,114.7,109.4
Milwaukee Bucks,114.9,110.9
Minnesota Timberwolves,115.2,111.9
New Orleans Pelicans,108.3,110.2
New York Knicks,106.3,106.9
Oklahoma City Thunder,103,110.9
Orlando Magic,104.5,112.5
Philadelphia 76ers,108.7,106.8
Phoenix Sun,114.5,106.3
Portland Trail Blazers,107.1,113.8
Sacramento Kings,110.5,115.6
San Antonio Spurs,113,113.6
Toronto Raptors,108.8,107.2
Utah Jazz,114,107.7
Washington Wizards,108.4,111.6
