Orlando Magic,108.824,116.967
Toronto Raptors,110.957,107.263
Indiana Pacers,116.129,122.326
Philadelphia 76ers,112.074,111.699
Phoenix Suns,120.617,109.883
Charlotte Hornets,119.689,115.435
Minnesota Timberwolves,125.01,113.123
Oklahoma City Thunder,111.132,123.613
San Antonio Spurs,117.723,120.853
Sacramento Kings,114.139,119.38
Atlanta Hawks,116.251,114.928
Memphis Grizzlies,122.098,111.56
Miami Heat,109.593,105.388
Atlanta Hawks,116.251,114.928
Milwaukee Bucks,123.271,117.626
Philadelphia 76ers,112.074,111.699
Detroit Pistons,106.29,111.493
Cleveland Cavaliers,108.809,110.76
Sacramento Kings,114.139,119.38
Utah Jazz,115.449,109.931
