Detroit Pistons,106.29,111.493
New Orleans Pelicans,116.984,115.831
Houston Rockets,111.29,122.694
Charlotte Hornets,119.689,115.435
Indiana Pacers,116.129,122.326
San Antonio Spurs,117.723,120.853
Indiana Pacers,116.129,122.326
Philadelphia 76ers,112.074,111.699
Atlanta Hawks,116.251,114.928
Detroit Pistons,106.29,111.493
Washington Wizards,112.441,119.34
Minnesota Timberwolves,125.01,113.123
Charlotte Hornets,119.689,115.435
Philadelphia 76ers,112.074,111.699
Toronto Raptors,110.957,107.263
Indiana Pacers,116.129,122.326
Miami Heat,109.593,105.388
Chicago Bulls,110.993,114.051
Los Angeles Clippers,107.818,109.137
Philadelphia 76ers,112.074,111.699
