Utah Jazz,115.449,109.931
New Orleans Pelicans,116.984,115.831
Brooklyn Nets,117.731,113.728
New York Knicks,113.46,108.286
Boston Celtics,111.986,101.217
Toronto Raptors,110.957,107.263
Orlando Magic,108.824,116.967
Golden State Warriors,112.813,111.661
Sacramento Kings,114.139,119.38
Sacramento Kings,114.139,119.38
Portland Trail Blazers,103.943,120.757
Oklahoma City Thunder,111.132,123.613
Houston Rockets,111.29,122.694
New Orleans Pelicans,116.984,115.831
Golden State Warriors,112.813,111.661
Sacramento Kings,114.139,119.38
Golden State Warriors,112.813,111.661
Toronto Raptors,110.957,107.263
Philadelphia 76ers,112.074,111.699
Washington Wizards,112.441,119.34
