Utah Jazz,115.449,109.931
Washington Wizards,112.441,119.34
Philadelphia 76ers,112.074,111.699
New York Knicks,113.46,108.286
Orlando Magic,108.824,116.967
Los Angeles Clippers,107.818,109.137
Detroit Pistons,106.29,111.493
Charlotte Hornets,119.689,115.435
New Orleans Pelicans,116.984,115.831
Portland Trail Blazers,103.943,120.757
Minnesota Timberwolves,125.01,113.123
Chicago Bulls,110.993,114.051
San Antonio Spurs,117.723,120.853
Boston Celtics,111.986,101.217
Orlando Magic,108.824,116.967
Houston Rockets,111.29,122.694
New Orleans Pelicans,116.984,115.831
New York Knicks,113.46,108.286
Oklahoma City Thunder,111.132,123.613
Indiana Pacers,116.129,122.326
