Milwaukee Bucks,123.271,117.626
Sacramento Kings,114.139,119.38
Memphis Grizzlies,122.098,111.56
Los Angeles Lakers,110.881,119.847
Utah Jazz,115.449,109.931
Denver Nuggets,117.57,112.588
Golden State Warriors,112.813,111.661
Portland Trail Blazers,103.943,120.757
Oklahoma City Thunder,111.132,123.613
Brooklyn Nets,117.731,113.728
Miami Heat,109.593,105.388
Philadelphia 76ers,112.074,111.699
Philadelphia 76ers,112.074,111.699
Phoenix Suns,120.617,109.883
Los Angeles Clippers,107.818,109.137
Sacramento Kings,114.139,119.38
Dallas Mavericks,107.095,104.55
Memphis Grizzlies,122.098,111.56
Brooklyn Nets,117.731,113.728
Portland Trail Blazers,103.943,120.757
