Dallas Mavericks,107.095,104.55
Chicago Bulls,110.993,114.051
Indiana Pacers,116.129,122.326
Memphis Grizzlies,122.098,111.56
Boston Celtics,111.986,101.217
Portland Trail Blazers,103.943,120.757
Utah Jazz,115.449,109.931
Phoenix Suns,120.617,109.883
Denver Nuggets,117.57,112.588
Atlanta Hawks,116.251,114.928
Houston Rockets,111.29,122.694
Indiana Pacers,116.129,122.326
Indiana Pacers,116.129,122.326
Toronto Raptors,110.957,107.263
Memphis Grizzlies,122.098,111.56
Phoenix Suns,120.617,109.883
New Orleans Pelicans,116.984,115.831
Minnesota Timberwolves,125.01,113.123
Philadelphia 76ers,112.074,111.699
Brooklyn Nets,117.731,113.728
