Sacramento Kings,114.139,119.38
Memphis Grizzlies,122.098,111.56
Washington Wizards,112.441,119.34
Dallas Mavericks,107.095,104.55
Chicago Bulls,110.993,114.051
Phoenix Suns,120.617,109.883
Oklahoma City Thunder,111.132,123.613
Cleveland Cavaliers,108.809,110.76
Boston Celtics,111.986,101.217
Milwaukee Bucks,123.271,117.626
Minnesota Timberwolves,125.01,113.123
New York Knicks,113.46,108.286
New York Knicks,113.46,108.286
Cleveland Cavaliers,108.809,110.76
Miami Heat,109.593,105.388
Chicago Bulls,110.993,114.051
Brooklyn Nets,117.731,113.728
Orlando Magic,108.824,116.967
Denver Nuggets,117.57,112.588
Cleveland Cavaliers,108.809,110.76
