Atlanta Hawks,116.251,114.928
Washington Wizards,112.441,119.34
Chicago Bulls,110.993,114.051
Philadelphia 76ers,112.074,111.699
Milwaukee Bucks,123.271,117.626
Orlando Magic,108.824,116.967
Los Angeles Clippers,107.818,109.137
Houston Rockets,111.29,122.694
Oklahoma City Thunder,111.132,123.613
New Orleans Pelicans,116.984,115.831
Utah Jazz,115.449,109.931
Portland Trail Blazers,103.943,120.757
New York Knicks,113.46,108.286
Milwaukee Bucks,123.271,117.626
Orlando Magic,108.824,116.967
Miami Heat,109.593,105.388
Toronto Raptors,110.957,107.263
Los Angeles Lakers,110.881,119.847
New Orleans Pelicans,116.984,115.831
Houston Rockets,111.29,122.694
