Phoenix Suns,120.617,109.883
Golden State Warriors,112.813,111.661
Miami Heat,109.593,105.388
Houston Rockets,111.29,122.694
Cleveland Cavaliers,108.809,110.76
Atlanta Hawks,116.251,114.928
New Orleans Pelicans,116.984,115.831
Chicago Bulls,110.993,114.051
Oklahoma City Thunder,111.132,123.613
Washington Wizards,112.441,119.34
Miami Heat,109.593,105.388
Memphis Grizzlies,122.098,111.56
Sacramento Kings,114.139,119.38
Charlotte Hornets,119.689,115.435
Los Angeles Lakers,110.881,119.847
Toronto Raptors,110.957,107.263
Utah Jazz,115.449,109.931
Indiana Pacers,116.129,122.326
Minnesota Timberwolves,125.01,113.123
Oklahoma City Thunder,111.132,123.613
