Memphis Grizzlies,122.098,111.56
Milwaukee Bucks,123.271,117.626
Philadelphia 76ers,112.074,111.699
Phoenix Suns,120.617,109.883
Miami Heat,109.593,105.388
Brooklyn Nets,117.731,113.728
Sacramento Kings,114.139,119.38
Detroit Pistons,106.29,111.493
Indiana Pacers,116.129,122.326
Brooklyn Nets,117.731,113.728
San Antonio Spurs,117.723,120.853
Cleveland Cavaliers,108.809,110.76
Detroit Pistons,106.29,111.493
Atlanta Hawks,116.251,114.928
Indiana Pacers,116.129,122.326
Los Angeles Clippers,107.818,109.137
Los Angeles Lakers,110.881,119.847
Portland Trail Blazers,103.943,120.757
Golden State Warriors,112.813,111.661
Denver Nuggets,117.57,112.588
